Ticker,Metric,Filed_Date,Period_End,Value,Form
BRK-A,Revenue,2014-11-07,2014-09-30,51199000000.0,10-Q
BRK-A,Revenue,2015-03-02,2014-09-30,51199000000.0,10-K
BRK-A,Revenue,2015-11-06,2014-09-30,51199000000.0,10-Q
BRK-A,Revenue,2016-02-29,2014-09-30,51199000000.0,10-K
BRK-A,Revenue,2015-03-02,2014-12-31,194673000000.0,10-K
BRK-A,Revenue,2016-02-29,2014-12-31,194673000000.0,10-K
BRK-A,Revenue,2015-03-02,2014-12-31,48259000000.0,10-K
BRK-A,Revenue,2016-02-29,2014-12-31,48259000000.0,10-K
BRK-A,Revenue,2015-05-01,2015-03-31,48644000000.0,10-Q
BRK-A,Revenue,2016-02-29,2015-03-31,48644000000.0,10-K
BRK-A,Revenue,2016-05-06,2015-03-31,48644000000.0,10-Q
BRK-A,Revenue,2015-08-07,2015-06-30,100012000000.0,10-Q
BRK-A,Revenue,2015-08-07,2015-06-30,51368000000.0,10-Q
BRK-A,Revenue,2016-02-29,2015-06-30,51368000000.0,10-K
BRK-A,Revenue,2015-11-06,2015-09-30,159001000000.0,10-Q
BRK-A,Revenue,2015-11-06,2015-09-30,58989000000.0,10-Q
BRK-A,Revenue,2016-02-29,2015-09-30,58989000000.0,10-K
BRK-A,Revenue,2016-02-29,2015-12-31,210821000000.0,10-K
BRK-A,Revenue,2016-02-29,2015-12-31,51820000000.0,10-K
BRK-A,Revenue,2016-05-06,2016-03-31,52403000000.0,10-Q
BRK-A,NetIncome,2013-03-01,2010-12-31,12967000000.0,10-K
BRK-A,NetIncome,2013-03-01,2011-03-31,1511000000.0,10-K
BRK-A,NetIncome,2013-03-01,2011-06-30,3417000000.0,10-K
BRK-A,NetIncome,2013-03-01,2011-09-30,2278000000.0,10-K
BRK-A,NetIncome,2013-03-01,2011-12-31,10254000000.0,10-K
BRK-A,NetIncome,2014-03-03,2011-12-31,10254000000.0,10-K
BRK-A,NetIncome,2013-03-01,2011-12-31,3048000000.0,10-K
BRK-A,NetIncome,2013-03-01,2012-03-31,3245000000.0,10-K
BRK-A,NetIncome,2013-05-03,2012-03-31,3245000000.0,10-Q
BRK-A,NetIncome,2014-03-03,2012-03-31,3245000000.0,10-K
BRK-A,NetIncome,2013-08-02,2012-06-30,6353000000.0,10-Q
BRK-A,NetIncome,2013-03-01,2012-06-30,3108000000.0,10-K
BRK-A,NetIncome,2013-08-02,2012-06-30,3108000000.0,10-Q
BRK-A,NetIncome,2014-03-03,2012-06-30,3108000000.0,10-K
BRK-A,NetIncome,2013-11-01,2012-09-30,10273000000.0,10-Q
BRK-A,NetIncome,2013-03-01,2012-09-30,3920000000.0,10-K
BRK-A,NetIncome,2013-11-01,2012-09-30,3920000000.0,10-Q
BRK-A,NetIncome,2014-03-03,2012-09-30,3920000000.0,10-K
